"gene","coef","pVal","Std.error","pVal_adj","qVal"
"TP53",4.10041995328488,1.56328862050398e-63,0.243689710570515,4.76803029253714e-61,4.76803029253714e-61
"KRAS",5.70528213610267,1.78501639704551e-18,0.650537583197818,2.7221500054944e-16,2.7221500054944e-16
"MUC1",1.49054874442213,0.00101388473071981,0.453516772852489,0.103078280956514,0.103078280956514
"MAP2K4",1.68540866534435,0.00244101680362347,0.556137925730276,0.18612753127629,0.18612753127629
"ACVR1B",1.5555239817319,0.00416397419198707,0.542852218012663,0.254002425711211,0.254002425711211
"ARID2",1.33993705333176,0.0102407740826139,0.521865344383349,0.42075186333565,0.42075186333565
"PDE4DIP",0.876187462586667,0.0110361144481482,0.344744881567454,0.42075186333565,0.42075186333565
"PTEN",1.5452302272665,0.0107306204299657,0.605651767804724,0.42075186333565,0.42075186333565
"TCF7L2",1.10873839310709,0.0155035139780479,0.458080960946281,0.525396862589401,0.525396862589401
"CPEB3",1.50718687698995,0.0197377674218843,0.646501776186875,0.547274460334065,0.547274460334065
"FANCA",0.92731268461716,0.0181772798048202,0.392598556293817,0.547274460334065,0.547274460334065
"CREBBP",-2.33549685931574,0.023910761365154,1.03406451156331,0.607731851364331,0.607731851364331
"CDKN1B",2.08698592805204,0.0299636433197265,0.961491825143611,0.652779372322613,0.652779372322613
"NCOA4",1.09149963526448,0.0286433559205032,0.498775066647291,0.652779372322613,0.652779372322613
"A1CF",0.5323437984737,0.276645485907642,0.489337901509498,0.991230417748256,0.991230417748256
"ABI1",-0.493560478251654,0.529209266312392,0.784408547559236,0.991230417748256,0.991230417748256
"ABL2",0.0268714149756088,0.955350173353319,0.479936700543935,0.991230417748256,0.991230417748256
"AJUBA",-0.573888662746238,0.468858734493486,0.792294873494526,0.991230417748256,0.991230417748256
"AKT1",0.91612172270086,0.133700304740774,0.610882837032594,0.991230417748256,0.991230417748256
"AKT3",-0.375004209156398,0.53143843739879,0.599228476362503,0.991230417748256,0.991230417748256
"ALDH2",-0.365104688391155,0.648549498485095,0.801057854057331,0.991230417748256,0.991230417748256
"ARHGAP5",0.115061517726012,0.837231934148029,0.560086020818149,0.991230417748256,0.991230417748256
"ARHGEF10L",-1.51996388494362,0.0871594493958363,0.888568565249811,0.991230417748256,0.991230417748256
"ARHGEF12",0.0989689091779812,0.806881955354459,0.404862825451654,0.991230417748256,0.991230417748256
